Keuwl Accelerometer Data File
2019-04-14 17-23-08

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.063410,0.808094,0.151417,0.824599,79.419044,94.486748
0.0049744,-0.031648,0.803857,0.167324,0.821696,78.250542,92.254608
0.0099487,-0.003839,0.811040,0.141568,0.823311,80.098839,90.271187
0.0149231,-0.051662,0.834324,0.152160,0.849658,79.683594,93.543282
0.0198975,-0.033380,0.835573,0.137682,0.847498,80.650452,92.287643
0.0248718,-0.068456,0.861037,0.168959,0.880124,78.932137,94.545692
0.0298462,-0.108000,0.877379,0.172871,0.900745,78.935165,97.017456
0.0348206,-0.057534,0.885834,0.138909,0.898503,81.106346,93.716072
0.0397949,-0.058626,0.889153,0.149519,0.903541,80.474815,93.772301
0.0447693,-0.031549,0.850162,0.206426,0.875433,76.361282,92.125229
0.0497437,0.014955,0.878861,0.310917,0.932357,70.520233,89.025101
0.0547180,0.013330,0.906335,0.337337,0.967169,69.586777,89.157372
0.0596924,-0.016348,0.861171,0.305804,0.914002,70.453171,91.087517
0.0646667,-0.036585,0.803205,0.262395,0.845771,71.926071,92.607971
0.0696411,-0.065551,0.838645,0.222044,0.870015,75.213455,94.469292
0.0746155,-0.063676,0.879566,0.182171,0.900487,78.328369,94.140709
0.0795898,-0.059178,0.875920,0.177246,0.895630,78.585754,93.865082
0.0845642,-0.015937,0.844215,0.159976,0.859387,79.271729,91.081490
0.0895386,0.001305,0.820210,0.132157,0.830790,80.846840,89.908836
0.0945129,-0.056044,0.769412,0.146207,0.785183,79.268417,94.166054
0.0994873,-0.072604,0.753587,0.141529,0.770191,79.411278,95.503189
0.1044617,-0.081788,0.822044,0.135834,0.837196,80.662529,95.681839
0.1094360,-0.091357,0.862758,0.157038,0.881679,79.740166,96.044479
0.1144104,-0.059327,0.853175,0.187797,0.875611,77.615273,93.977776
0.1193848,-0.019976,0.876276,0.211587,0.901680,76.428505,91.305939
0.1243591,-0.015968,0.912511,0.218274,0.938390,76.549538,91.002518
0.1293335,-0.080942,0.872586,0.282042,0.920601,72.159576,95.299622
0.1343078,-0.089778,0.805694,0.300796,0.864685,69.643074,96.358208
0.1392822,-0.050024,0.827325,0.226116,0.859126,74.740372,93.460182
0.1442566,-0.081022,0.840867,0.193678,0.866679,77.087006,95.503792
0.1492310,-0.137905,0.797510,0.248623,0.846672,72.923538,99.810509
0.1542053,-0.123161,0.844405,0.268278,0.894518,72.547600,98.298355
0.1591797,-0.062023,0.874052,0.200929,0.898992,77.085014,94.058914
0.1641540,-0.056066,0.820483,0.237217,0.855925,73.909973,93.909081
0.1691284,-0.053484,0.779069,0.219627,0.811200,74.291496,93.927223
0.1741028,-0.052468,0.835941,0.161180,0.852953,79.107483,93.591461
0.1790771,-0.123014,0.877435,0.149423,0.898527,80.427399,97.980728
0.1840515,-0.106155,0.774209,0.179663,0.801840,77.052162,97.807388
0.1890259,-0.116558,0.787917,0.244755,0.833249,72.918251,98.414833
0.1940002,-0.049279,0.891370,0.208571,0.916772,76.849724,93.164368
0.1989746,-0.050463,0.895654,0.234180,0.927136,75.369537,93.224747
0.2039490,-0.034800,0.794314,0.256505,0.835428,72.119438,92.508583
0.2089233,-0.043546,0.764486,0.237264,0.801641,72.784119,93.260101
